Confirmation Code,Student First Name,Student Middle Name,Student Last Name,Student Birthday,Student Gender,Student Street Address 1,Student Street Address 2,Student City,Student ZIP Code,Contact 1 First Name,Contact 1 Last Name,Contact 1 Phone,Contact 1 Email,Contact 1 Relationship,Contact 2 First Name,Contact 2 Last Name,Contact 2 Phone,Contact 2 Email,Contact 2 Relationship,Household Members,Household Monthly Income,Schools Applied
38,StudentFirst38,StudentMiddle38,StudentLast38,11/2/2009,Female,160 Fake St,,Pawtucket,01980,ContactFirst38,ContactLast38,401-123-4604,123@gt-fake-email.edu.org,Father,,,,,,5,3677,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
39,StudentFirst39,StudentMiddle39,StudentLast39,12/6/2009,Male,161 Fake St,,Providence,01981,ContactFirst39,ContactLast39,401-123-4605,123@gt-fake-email.edu.org,Mother,,,,,,6,2425,Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
40,StudentFirst40,StudentMiddle40,StudentLast40,9/28/2009,Male,162 Fake St,,Pawtucket,01982,ContactFirst40,ContactLast40,401-123-4606,123@gt-fake-email.edu.org,Mother,,,,,,4,6180,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
41,StudentFirst41,StudentMiddle41,StudentLast41,9/30/2009,Male,163 Fake St,,Cranston,01983,ContactFirst41,ContactLast41,401-123-4607,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Cranston - Comprehensive Community Action Program (CCAP);
42,StudentFirst42,StudentMiddle42,StudentLast42,12/10/2009,Female,164 Fake St,,Central Falls,01984,ContactFirst42,ContactLast42,401-123-4608,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Central Falls - Capt. Hunt Early Learning Center;
43,StudentFirst43,StudentMiddle43,StudentLast43,1/3/2010,Male,165 Fake St,,Central Falls,01985,ContactFirst43,ContactLast43,401-123-4609,123@gt-fake-email.edu.org,Mother,,,,,,6,2425,Central Falls - Capt. Hunt Early Learning Center;
44,StudentFirst44,StudentMiddle44,StudentLast44,1/19/2010,Female,166 Fake St,,West Warwick,01986,ContactFirst44,ContactLast44,401-123-4610,123@gt-fake-email.edu.org,Mother,,,,,,2,2425,West Warwick - CHILD Inc.;
45,StudentFirst45,StudentMiddle45,StudentLast45,1/1/2010,Female,167 Fake St,,Newport,01987,ContactFirst45,ContactLast45,401-123-4611,123@gt-fake-email.edu.org,Mother,,,,,,6,2425,Newport - East Bay Community Action Head Start;
46,StudentFirst46,StudentMiddle46,StudentLast46,8/8/2010,Male,168 Fake St,,Providence,01988,ContactFirst46,ContactLast46,401-123-4612,123@gt-fake-email.edu.org,Mother,,,,,,2,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
47,StudentFirst47,StudentMiddle47,StudentLast47,9/2/2009,Male,169 Fake St,,Cranston,01989,ContactFirst47,ContactLast47,401-123-4613,123@gt-fake-email.edu.org,Mother,,,,,,6,2425,Cranston - Comprehensive Community Action Program (CCAP);
48,StudentFirst48,StudentMiddle48,StudentLast48,11/20/2009,Female,170 Fake St,,Central Falls,01990,ContactFirst48,ContactLast48,401-123-4614,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Central Falls - Capt. Hunt Early Learning Center;
49,StudentFirst49,StudentMiddle49,StudentLast49,6/26/2010,Female,171 Fake St,,Woonsocket,01991,ContactFirst49,ContactLast49,401-123-4615,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Woonsocket - Woonsocket Head Start Child Development Association;
50,StudentFirst50,StudentMiddle50,StudentLast50,6/11/2010,Male,172 Fake St,,Warwick,01992,ContactFirst50,ContactLast50,401-123-4616,123@gt-fake-email.edu.org,Mother,,,,,,4,6806,Warwick - Westbay Community Action Children's Center;
51,StudentFirst51,StudentMiddle51,StudentLast51,5/3/2010,Male,173 Fake St,,Warwick,01993,ContactFirst51,ContactLast51,401-123-4617,123@gt-fake-email.edu.org,Father,,,,,,4,4928,Warwick - Westbay Community Action Children's Center;
52,StudentFirst52,StudentMiddle52,StudentLast52,3/5/2014,Male,174 Fake St,,Providence,01994,ContactFirst52,ContactLast52,401-123-4618,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
53,StudentFirst53,StudentMiddle53,StudentLast53,3/18/2010,Male,175 Fake St,,Providence,01995,ContactFirst53,ContactLast53,401-123-4619,123@gt-fake-email.edu.org,Father,,,,,,5,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
54,StudentFirst54,StudentMiddle54,StudentLast54,1/27/2010,Female,176 Fake St,,Warwick,01996,ContactFirst54,ContactLast54,401-123-4620,123@gt-fake-email.edu.org,Mother,,,,,,4,4928,Warwick - CHILD Inc.;Warwick - Westbay Community Action Children's Center;
55,StudentFirst55,StudentMiddle55,StudentLast55,10/27/2009,Male,177 Fake St,,Pawtucket,01997,ContactFirst55,ContactLast55,401-123-4621,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
56,StudentFirst56,StudentMiddle56,StudentLast56,10/23/2009,Male,178 Fake St,,Warwick,01998,ContactFirst56,ContactLast56,401-123-4622,123@gt-fake-email.edu.org,Mother,,,,,,5,6806,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
57,StudentFirst57,StudentMiddle57,StudentLast57,9/18/2009,Male,179 Fake St,,Woonsocket,01999,ContactFirst57,ContactLast57,401-123-4623,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Woonsocket - Woonsocket Head Start Child Development Association;
58,StudentFirst58,StudentMiddle58,StudentLast58,11/23/2009,Female,180 Fake St,,Warwick,02000,ContactFirst58,ContactLast58,401-123-4624,123@gt-fake-email.edu.org,Mother,,,,,,6,4302,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
59,StudentFirst59,StudentMiddle59,StudentLast59,2/24/2010,Male,181 Fake St,,Woonsocket,02001,ContactFirst59,ContactLast59,401-123-4625,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Woonsocket - Woonsocket Head Start Child Development Association;
60,StudentFirst60,StudentMiddle60,StudentLast60,1/9/2010,Female,182 Fake St,,Providence,02002,ContactFirst60,ContactLast60,401-123-4626,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Providence - Beautiful Beginnings;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
61,StudentFirst61,StudentMiddle61,StudentLast61,5/10/2010,Male,183 Fake St,,Warwick,02003,ContactFirst61,ContactLast61,401-123-4627,123@gt-fake-email.edu.org,Father,,,,,,5,6180,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
62,StudentFirst62,StudentMiddle62,StudentLast62,2/22/2010,Male,184 Fake St,,Warwick,02004,ContactFirst62,ContactLast62,401-123-4628,123@gt-fake-email.edu.org,Mother,,,,,,3,5554,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
63,StudentFirst63,StudentMiddle63,StudentLast63,10/21/2009,Female,185 Fake St,,Cranston,02005,ContactFirst63,ContactLast63,401-123-4629,123@gt-fake-email.edu.org,Mother,,,,,,3,6806,Cranston - Comprehensive Community Action Program (CCAP);
64,StudentFirst64,StudentMiddle64,StudentLast64,2/26/2010,Female,186 Fake St,,Cranston,02006,ContactFirst64,ContactLast64,401-123-4630,123@gt-fake-email.edu.org,Mother,,,,,,3,4302,Cranston - Comprehensive Community Action Program (CCAP);
65,StudentFirst65,StudentMiddle65,StudentLast65,5/13/2010,Male,187 Fake St,,West Warwick,02007,ContactFirst65,ContactLast65,401-123-4631,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,West Warwick - CHILD Inc.;
66,StudentFirst66,StudentMiddle66,StudentLast66,12/17/2009,Female,188 Fake St,,Warwick,02008,ContactFirst66,ContactLast66,401-123-4632,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
67,StudentFirst67,StudentMiddle67,StudentLast67,12/10/2009,Male,189 Fake St,,Providence,02009,ContactFirst67,ContactLast67,401-123-4633,123@gt-fake-email.edu.org,Mother,,,,,,4,3677,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;
68,StudentFirst68,StudentMiddle68,StudentLast68,6/30/2010,Female,190 Fake St,,Newport,02010,ContactFirst68,ContactLast68,401-123-4634,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Newport - East Bay Community Action Head Start;
69,StudentFirst69,StudentMiddle69,StudentLast69,2/8/2010,Male,191 Fake St,,Newport,02011,ContactFirst69,ContactLast69,401-123-4635,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Newport - East Bay Community Action Head Start;
70,StudentFirst70,StudentMiddle70,StudentLast70,10/19/2009,Male,192 Fake St,,Warwick,02012,ContactFirst70,ContactLast70,401-123-4636,123@gt-fake-email.edu.org,Father,,,,,,4,5554,Warwick - Westbay Community Action Children's Center;
71,StudentFirst71,StudentMiddle71,StudentLast71,5/17/2010,Female,193 Fake St,,Warwick,02013,ContactFirst71,ContactLast71,401-123-4637,123@gt-fake-email.edu.org,Mother,,,,,,4,6180,Warwick - Westbay Community Action Children's Center;
72,StudentFirst72,StudentMiddle72,StudentLast72,5/17/2010,Female,194 Fake St,,Warwick,02014,ContactFirst72,ContactLast72,401-123-4638,123@gt-fake-email.edu.org,Mother,,,,,,4,6180,Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
73,StudentFirst73,StudentMiddle73,StudentLast73,8/4/2010,Male,195 Fake St,,Providence,02015,ContactFirst73,ContactLast73,401-123-4639,123@gt-fake-email.edu.org,Mother,,,,,,2,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
74,StudentFirst74,StudentMiddle74,StudentLast74,7/27/2010,Male,196 Fake St,,Woonsocket,02016,ContactFirst74,ContactLast74,401-123-4640,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Woonsocket - Woonsocket Head Start Child Development Association;
75,StudentFirst75,StudentMiddle75,StudentLast75,1/2/2010,Male,197 Fake St,,Woonsocket,02017,ContactFirst75,ContactLast75,401-123-4641,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Woonsocket - Woonsocket Head Start Child Development Association;
76,StudentFirst76,StudentMiddle76,StudentLast76,8/23/2010,Female,198 Fake St,,Providence,02018,ContactFirst76,ContactLast76,401-123-4642,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
77,StudentFirst77,StudentMiddle77,StudentLast77,1/14/2010,Female,199 Fake St,,Warwick,02019,ContactFirst77,ContactLast77,401-123-4643,123@gt-fake-email.edu.org,Mother,,,,,,4,3677,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
78,StudentFirst78,StudentMiddle78,StudentLast78,12/28/2009,Female,200 Fake St,,Providence,02020,ContactFirst78,ContactLast78,401-123-4644,123@gt-fake-email.edu.org,Father,,,,,,5,5554,Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
79,StudentFirst79,StudentMiddle79,StudentLast79,7/30/2010,Female,201 Fake St,,Pawtucket,02021,ContactFirst79,ContactLast79,401-123-4645,123@gt-fake-email.edu.org,Mother,,,,,,5,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
80,StudentFirst80,StudentMiddle80,StudentLast80,11/18/2009,Male,202 Fake St,,West Warwick,02022,ContactFirst80,ContactLast80,401-123-4646,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,West Warwick - CHILD Inc.;
81,StudentFirst81,StudentMiddle81,StudentLast81,1/15/2010,Female,203 Fake St,,Warwick,02023,ContactFirst81,ContactLast81,401-123-4647,123@gt-fake-email.edu.org,Mother,,,,,,4,3051,Warwick - CHILD Inc.;Warwick - Imagine Preschool at CCRI Knight Campus;Warwick - Westbay Community Action Children's Center;
82,StudentFirst82,StudentMiddle82,StudentLast82,11/26/2009,Female,204 Fake St,,Cranston,02024,ContactFirst82,ContactLast82,401-123-4648,123@gt-fake-email.edu.org,Mother,,,,,,3,7432,Cranston - Comprehensive Community Action Program (CCAP);
83,StudentFirst83,StudentMiddle83,StudentLast83,4/29/2010,Male,205 Fake St,,Woonsocket,02025,ContactFirst83,ContactLast83,401-123-4649,123@gt-fake-email.edu.org,Mother,,,,,,2,2425,Woonsocket - Woonsocket Head Start Child Development Association;
84,StudentFirst84,StudentMiddle84,StudentLast84,11/11/2009,Male,206 Fake St,,Warwick,02026,ContactFirst84,ContactLast84,401-123-4650,123@gt-fake-email.edu.org,Mother,,,,,,4,2425,Warwick - CHILD Inc.;Warwick - Westbay Community Action Children's Center;
85,StudentFirst85,StudentMiddle85,StudentLast85,8/25/2010,Female,207 Fake St,,Pawtucket,02027,ContactFirst85,ContactLast85,401-123-4651,123@gt-fake-email.edu.org,Mother,,,,,,6,2425,Pawtucket - Ready to Learn-Heritage Park YMCA Early Learning Center;
86,StudentFirst86,StudentMiddle86,StudentLast86,9/6/2009,Male,208 Fake St,,Warwick,02028,ContactFirst86,ContactLast86,401-123-4652,123@gt-fake-email.edu.org,Mother,,,,,,4,4928,Warwick - CHILD Inc.;
87,StudentFirst87,StudentMiddle87,StudentLast87,7/17/2010,Female,209 Fake St,,Woonsocket,02029,ContactFirst87,ContactLast87,401-123-4653,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Woonsocket - Woonsocket Head Start Child Development Association;
88,StudentFirst88,StudentMiddle88,StudentLast88,5/8/2010,Male,210 Fake St,,Providence,02030,ContactFirst88,ContactLast88,401-123-4654,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,Providence - Smith Hill Early Childhood Learning Center;
89,StudentFirst89,StudentMiddle89,StudentLast89,1/3/2010,Female,211 Fake St,,Warwick,02031,ContactFirst89,ContactLast89,401-123-4655,123@gt-fake-email.edu.org,Father,,,,,,5,6806,Warwick - Imagine Preschool at CCRI Knight Campus;
90,StudentFirst90,StudentMiddle90,StudentLast90,1/3/2010,Female,212 Fake St,,Warwick,02032,ContactFirst90,ContactLast90,401-123-4656,123@gt-fake-email.edu.org,Father,,,,,,5,6806,Warwick - Westbay Community Action Children's Center;
91,StudentFirst91,StudentMiddle91,StudentLast91,1/3/2010,Female,213 Fake St,,Warwick,02033,ContactFirst91,ContactLast91,401-123-4657,123@gt-fake-email.edu.org,Father,,,,,,5,6806,Warwick - Westbay Community Action Children's Center;
92,StudentFirst92,StudentMiddle92,StudentLast92,6/22/2010,Female,214 Fake St,,West Warwick,02034,ContactFirst92,ContactLast92,401-123-4658,123@gt-fake-email.edu.org,Mother,,,,,,3,2425,West Warwick - CHILD Inc.;
93,StudentFirst93,StudentMiddle93,StudentLast93,6/18/2010,Female,215 Fake St,,Warwick,02035,ContactFirst93,ContactLast93,401-123-4659,123@gt-fake-email.edu.org,Mother,,,,,,4,6180,Warwick - Imagine Preschool at CCRI Knight Campus;
94,StudentFirst94,StudentMiddle94,StudentLast94,1/19/2010,Male,216 Fake St,,Cranston,02036,ContactFirst94,ContactLast94,401-123-4660,123@gt-fake-email.edu.org,Mother,,,,,,4,6806,Cranston - Comprehensive Community Action Program (CCAP);
95,StudentFirst95,StudentMiddle95,StudentLast95,2/12/2010,Female,217 Fake St,,Newport,02037,ContactFirst95,ContactLast95,401-123-4661,123@gt-fake-email.edu.org,Father,,,,,,6,2425,Newport - East Bay Community Action Head Start;
96,StudentFirst96,StudentMiddle96,StudentLast96,8/14/2010,Male,218 Fake St,,Providence,02038,ContactFirst96,ContactLast96,401-123-4662,123@gt-fake-email.edu.org,Mother,,,,,,7,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;
97,StudentFirst97,StudentMiddle97,StudentLast97,6/14/2010,Male,219 Fake St,,Providence,02039,ContactFirst97,ContactLast97,401-123-4663,123@gt-fake-email.edu.org,Mother,,,,,,6,2425,Providence - Beautiful Beginnings;Providence - Ready to Learn Providence at CCRI Liston Campus;Providence - Smith Hill Early Childhood Learning Center;Providence - The Mariposa Center;
98,StudentFirst98,StudentMiddle98,StudentLast98,6/1/2010,Female,220 Fake St,,West Warwick,02040,ContactFirst98,ContactLast98,401-123-4664,123@gt-fake-email.edu.org,Mother,,,,,,7,2425,West Warwick - CHILD Inc.;
